350,42432549,The_Dandy_Lion,Dandy,Lion%20%E2%86%92%20FurPoc
3150,49375811,conor,%F0%9D%97%B0%F0%9D%97%BC%F0%9D%97%BB%F0%9D%97%BC%F0%9D%97%BF,
2450,50352739,Scixhorse,Scix,
2800,75977717,Nimex,Nimex,
350,84894645,Gariyuu,Gariyuu,
700,86503956,Scavenger51,Scavenger,
16800,96902118,akemicario,Akemi,%F0%9F%90%BE
350,116698782,Wooffull,Hector,
1750,164072428,azu_shorttail,Azu,Beep
700,170274001,s0ph0s,s0ph0s,%E2%9C%8A%F0%9F%8F%BF%F0%9F%87%AD%F0%9F%87%B0%F0%9F%87%B5%F0%9F%87%B8%F0%9F%8F%B3%EF%B8%8F%E2%80%8D%F0%9F%8C%88
1750,171522356,Morrowisgay,Morrow%20Certified%20Boywife,
3500,172749463,JetTheDog,J%20E%20T,%F0%9F%9B%A9%F0%9F%9B%AC%F0%9F%9B%AB%E2%9C%88%EF%B8%8F
1750,187565292,sissypone,Luna,
5950,207892566,AnAwkwardArcanine,Arcy,
7700,209707941,Okifur,Oki,
0,222995514,SilencedOne,Sil%20-%20PB%20Chocolate%20Flavor%20%F0%9F%A5%9C%F0%9F%8D%AB,
350,240953835,Sharkchomp,Sharkies,
192150,274315974,vanawolf,Vanawolf,
17500,301097996,DeltaFuzz,Delta,
2800,306030998,BlackieBoyeaux,Black,Cat
3150,311961106,E_D_AMA,E_D_AMA,
4200,332189241,NyxaraElsweyr,%E0%B8%A0%D7%90%D7%A5%E0%B8%84%D0%B3%E0%B8%84,%D1%94%C9%AD%E0%B8%A3%E0%B8%AC%D1%94%D7%A5%D0%B3
1750,357879910,Zachruff,Zachruff%20%F0%9F%94%9C%20FE%2C%20AC,
700,418514848,Rubbercubes,Luke!,
19600,433826691,xXRedDragonXx,Red,The%20Dragoness
3850,446804210,NeveMatteo14,Neev,(Matt)
8400,448289659,fudgepop01,Fudgepop01,(Dominick)
350,455900959,ColonelThirtyTwo,Alex,
129150,479647859,MrHypercube,Xoren,(Boy%20of%20Varying%20Goodness)
1050,489609075,Vkeane,Keane,
